,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
0,2500,215.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
1,5000,368.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
2,7500,308.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
3,10000,330.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
4,12500,788.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
5,15000,864.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
6,17500,864.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
7,20000,870.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
8,22500,872.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
9,25000,892.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
10,27500,1188.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
11,30000,1070.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
12,32500,1072.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
13,35000,948.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
14,37500,1078.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
15,40000,1090.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
16,42500,1090.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
17,45000,1100.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,1
